Date,Game_Time,Team_1,Team_2,Winner,Score_1,Score_2,Game,T_Name
16.05.,22:12,Fiji 7s,Samoa 7s,Fiji 7s,26æ,æ12,12,L7s
16.05.,21:50,Canada 7s,Argentina 7s,Canada 7s,26æ,æ5,11,L7s
16.05.,21:28,USA 7s,Portugal 7s,USA 7s,28æ,æ12,10,L7s
16.05.,21:06,South Africa 7s,France 7s,South Africa 7s,28æ,æ7,9,L7s
16.05.,20:34,England 7s,Kenya 7s,England 7s,40æ,æ0,8,L7s
16.05.,20:12,Scotland 7s,Brazil 7s,Scotland 7s,19æ,æ14,7,L7s
16.05.,19:50,New Zealand 7s,Wales 7s,New Zealand 7s,38æ,æ0,6,L7s
16.05.,19:28,Australia 7s,Japan 7s,Australia 7s,41æ,æ0,5,L7s
16.05.,19:06,Fiji 7s,Argentina 7s,Fiji 7s,24æ,æ19,4,L7s
16.05.,18:44,Canada 7s,Samoa 7s,Canada 7s,17æ,æ14,3,L7s
16.05.,18:22,USA 7s,France 7s,USA 7s,24æ,æ19,2,L7s
16.05.,18:00,South Africa 7s,Portugal 7s,South Africa 7s,19æ,æ0,1,L7s
07.12.,1:12,Australia 7s,South Africa 7sæ,South Africa 7sæ,7æ,æ33,45,D7s
07.12.,0:40,Fiji 7sæ,New Zealand 7s,Fiji 7sæ,26æ,æ12,44,D7s
07.12.,0:10,Scotland 7s,Argentina 7sæ,Argentina 7sæ,12æ,æ26,43,D7s
06.12.,23:42,France 7s,Samoa 7sæ,Samoa 7sæ,21æ,æ31,42,D7s
06.12.,23:14,Canada 7sæ,Kenya 7s,Canada 7sæ,19æ,æ12,41,D7s
06.12.,22:17,South Africa 7sæ,New Zealand 7s,South Africa 7sæ,28æ,æ0,40,D7s
06.12.,21:55,Fiji 7s,Australia 7sæ,,24æ,æ29,39,D7s
06.12.,21:33,Argentina 7sæ,England 7s,Argentina 7sæ,21æ,æ19,38,D7s
06.12.,21:11,Wales 7s,Scotland 7sæ,Scotland 7sæ,7æ,æ31,37,D7s
06.12.,19:44,Portugal 7s,Samoa 7sæ,Samoa 7sæ,14æ,æ19,36,D7s
06.12.,19:22,France 7sæ,USA 7s,France 7sæ,24æ,æ15,35,D7s
06.12.,19:00,Brazil 7s,Kenya 7sæ,Kenya 7sæ,7æ,æ22,34,D7s
06.12.,18:38,Canada 7sæ,Japan 7s,Canada 7sæ,29æ,æ14,33,D7s
06.12.,17:06,New Zealand 7sæ,England 7s,New Zealand 7sæ,29æ,æ7,32,D7s
06.12.,16:44,South Africa 7sæ,Argentina 7s,South Africa 7sæ,40æ,æ0,31,D7s
06.12.,16:22,Australia 7sæ,Scotland 7s,Australia 7sæ,22æ,æ17,30,D7s
06.12.,16:00,Fiji 7sæ,Wales 7s,Fiji 7sæ,31æ,æ17,29,D7s
06.12.,15:36,Samoa 7sæ,Kenya 7s,Samoa 7sæ,40æ,æ5,28,D7s
06.12.,15:14,Portugal 7sæ,Brazil 7s,Portugal 7sæ,19æ,æ0,27,D7s
06.12.,14:52,USA 7sæ,Japan 7s,USA 7sæ,14æ,æ12,26,D7s
06.12.,14:30,France 7sæ,Canada 7s,France 7sæ,42æ,æ19,25,D7s
06.12.,1:31,England 7s,Australia 7s,Australia 7s,5æ,æ12,24,D7s
06.12.,1:09,USA 7s,Kenya 7s,USA 7s,26æ,æ17,23,D7s
06.12.,0:47,Samoa 7s,New Zealand 7s,New Zealand 7s,0æ,æ41,22,D7s
06.12.,0:25,Scotland 7s,Japan 7s,Scotland 7s,47æ,æ0,21,D7s
05.12.,21:52,Fiji 7s,Argentina 7s,Fiji 7s,33æ,æ21,20,D7s
05.12.,21:30,France 7s,Brazil 7s,France 7s,24æ,æ14,19,D7s
05.12.,21:08,South Africa 7s,Wales 7s,South Africa 7s,12æ,æ5,18,D7s
05.12.,20:46,Portugal 7s,Canada 7s,Portugal 7s,26æ,æ7,17,D7s
05.12.,19:36,Australia 7s,USA 7s,Australia 7s,26æ,æ10,16,D7s
05.12.,19:14,England 7s,Kenya 7s,England 7s,38æ,æ0,15,D7s
05.12.,18:52,New Zealand 7s,Scotland 7s,New Zealand 7s,43æ,æ0,14,D7s
05.12.,18:30,Samoa 7s,Japan 7s,Samoa 7s,38æ,æ12,13,D7s
05.12.,18:06,Argentina 7s,France 7s,Argentina 7s,26æ,æ21,12,D7s
05.12.,17:44,Fiji 7s,Brazil 7s,Fiji 7s,36æ,æ5,11,D7s
05.12.,17:22,Wales 7s,Portugal 7s,Wales 7s,26æ,æ21,10,D7s
05.12.,17:00,South Africa 7s,Canada 7s,South Africa 7s,24æ,æ12,9,D7s
05.12.,16:36,Australia 7s,Kenya 7s,Australia 7s,29æ,æ12,8,D7s
05.12.,16:14,England 7s,USA 7s,England 7s,19æ,æ10,7,D7s
05.12.,15:52,New Zealand 7s,Japan 7s,New Zealand 7s,36æ,æ0,6,D7s
05.12.,15:30,Samoa 7s,Scotland 7s,Scotland 7s,14æ,æ21,5,D7s
05.12.,15:06,Argentina 7s,Brazil 7s,Argentina 7s,17æ,æ5,4,D7s
05.12.,14:44,Fiji 7s,France 7s,Fiji 7s,54æ,æ7,3,D7s
05.12.,14:22,Wales 7s,Canada 7s,Canada 7s,14æ,æ19,2,D7s
05.12.,14:00,South Africa 7s,Portugal 7s,South Africa 7s,36æ,æ0,1,D7s
11.10.,9:50,England 7s,Argentina 7s,Argentina 7s,19æ,æ21,1,GC7s
11.10.,10:12,Canada 7s,USA 7s,USA 7s,15æ,æ17,2,GC7s
11.10.,10:34,New Zealand 7s,France 7s,New Zealand 7s,36æ,æ7,3,GC7s
11.10.,10:56,Samoa 7s,Japan 7s,Samoa 7s,40æ,æ14,4,GC7s
11.10.,11:18,South Africa 7s,Wales 7s,South Africa 7s,19æ,æ12,5,GC7s
11.10.,11:40,Kenya 7s,American Samoa 7s,Kenya 7s,42æ,æ0,6,GC7s
11.10.,12:02,Fiji 7s,Scotland 7s,Fiji 7s,40æ,æ7,7,GC7s
11.10.,12:24,Australia 7s,Portugal 7s,Australia 7s,29æ,æ0,8,GC7s
11.10.,12:51,England 7s,USA 7s,England 7s,14æ,æ7,9,GC7s
11.10.,13:13,Canada 7s,Argentina 7s,Argentina 7s,12æ,æ14,10,GC7s
11.10.,13:35,New Zealand 7s,Japan 7s,New Zealand 7s,59æ,æ0,11,GC7s
11.10.,13:57,Samoa 7s,France 7s,Samoa 7s,19æ,æ12,12,GC7s
11.10.,14:39,South Africa 7s,American Samoa 7s,South Africa 7s,48æ,æ0,13,GC7s
11.10.,15:01,Kenya 7s,Wales 7s,Wales 7s,19æ,æ24,14,GC7s
11.10.,15:23,Fiji 7s,Portugal 7s,Fiji 7s,38æ,æ0,15,GC7s
11.10.,15:45,Australia 7s,Scotland 7s,Australia 7s,24æ,æ14,16,GC7s
11.10.,16:07,Argentina 7s,USA 7s,Argentina 7s,26æ,æ12,17,GC7s
11.10.,16:29,England 7s,Canada 7s,England 7s,19æ,æ12,18,GC7s
11.10.,17:11,France 7s,Japan 7s,France 7s,33æ,æ14,19,GC7s
11.10.,17:33,New Zealand 7s,Samoa 7s,New Zealand 7s,28æ,æ17,20,GC7s
11.10.,17:55,Wales 7s,American Samoa 7s,Wales 7s,36æ,æ0,21,GC7s
11.10.,18:17,South Africa 7s,Kenya 7s,South Africa 7s,45æ,æ0,22,GC7s
11.10.,18:39,Scotland 7s,Portugal 7s,,21æ,æ21,23,GC7s
11.10.,19:01,Fiji 7s,Australia 7s,Fiji 7s,35æ,æ12,24,GC7s
12.10.,9:20,France 7sæ,Canada 7s,France 7sæ,21æ,æ19,25,GC7s
12.10.,9:42,Scotland 7sæ,American Samoa 7s,Scotland 7sæ,24æ,æ12,26,GC7s
12.10.,10:04,USA 7sæ,Japan 7s,USA 7sæ,26æ,æ5,27,GC7s
12.10.,10:26,Kenya 7s,Portugal 7sæ,Portugal 7sæ,17æ,æ19,28,GC7s
12.10.,10:48,New Zealand 7s,England 7sæ,England 7sæ,7æ,æ31,29,GC7s
12.10.,11:10,Fiji 7sæ,Wales 7s,Fiji 7sæ,31æ,æ10,30,GC7s
12.10.,11:32,Argentina 7s,Samoa 7sæ,Samoa 7sæ,21æ,æ24,31,GC7s
12.10.,11:54,South Africa 7sæ,Australia 7s,South Africa 7sæ,12æ,æ10,32,GC7s
12.10.,12:20,Canada 7sæ,American Samoa 7s,Canada 7sæ,50æ,æ0,33,GC7s
12.10.,12:43,Japan 7s,Kenya 7sæ,Kenya 7sæ,15æ,æ17,34,GC7s
12.10.,13:05,France 7sæ,Scotland 7s,France 7sæ,26æ,æ0,35,GC7s
12.10.,13:27,USA 7sæ,Portugal 7s,USA 7sæ,33æ,æ0,36,GC7s
12.10.,14:09,New Zealand 7sæ,Wales 7s,New Zealand 7sæ,39æ,æ5,37,GC7s
12.10.,14:31,Argentina 7sæ,Australia 7s,Argentina 7sæ,21æ,æ17,38,GC7s
12.10.,14:53,England 7s,Fiji 7sæ,Fiji 7sæ,7æ,æ48,39,GC7s
12.10.,15:15,Samoa 7sæ,South Africa 7s,Samoa 7sæ,28æ,æ12,40,GC7s
12.10.,15:40,Canada 7sæ,Kenya 7s,Canada 7sæ,40æ,æ7,41,GC7s
12.10.,16:17,France 7s,USA 7sæ,USA 7sæ,15æ,æ31,42,GC7s
12.10.,16:47,New Zealand 7sæ,Argentina 7s,New Zealand 7sæ,36æ,æ21,43,GC7s
12.10.,17:17,England 7sæ,South Africa 7s,England 7sæ,19æ,æ0,44,GC7s
12.10.,17:49,Fiji 7sæ,Samoa 7s,Fiji 7sæ,31æ,æ24,45,GC7s
05.04.,19:00,South Africa 7s,England 7sæ,England 7sæ,14æ,æ21,45,T7s
05.04.,18:36,Fiji 7sæ,Canada 7s,Fiji 7sæ,21æ,æ19,44,T7s
05.04.,18:04,Scotland 7s,New Zealand 7sæ,New Zealand 7sæ,14æ,æ21,43,T7s
05.04.,17:35,Australia 7s,USA 7sæ,,12æ,æ17,42,T7s
05.04.,17:06,Argentina 7s,Portugal 7sæ,Portugal 7sæ,7æ,æ12,41,T7s
05.04.,16:44,England 7sæ,Canada 7s,England 7sæ,14æ,æ5,40,T7s
05.04.,16:22,Fiji 7s,South Africa 7sæ,South Africa 7sæ,5æ,æ7,39,T7s
05.04.,16:00,France 7s,New Zealand 7sæ,New Zealand 7sæ,12æ,æ19,38,T7s
05.04.,15:38,Japan 7s,Scotland 7sæ,Scotland 7sæ,5æ,æ14,37,T7s
05.04.,15:16,Samoa 7s,USA 7sæ,USA 7sæ,5æ,æ22,36,T7s
05.04.,14:54,Wales 7s,Australia 7sæ,Australia 7sæ,12æ,æ17,35,T7s
05.04.,14:32,Hong Kong,Portugal 7sæ,Portugal 7sæ,17æ,æ19,34,T7s
05.04.,14:10,Argentina 7sæ,Kenya 7s,Argentina 7sæ,17æ,æ12,33,T7s
05.04.,13:26,New Zealand 7s,Canada 7sæ,Canada 7sæ,15æ,æ19,32,T7s
05.04.,13:04,France 7s,England 7sæ,England 7sæ,0æ,æ10,31,T7s
05.04.,12:42,South Africa 7sæ,Scotland 7s,South Africa 7sæ,22æ,æ0,30,T7s
05.04.,12:20,Fiji 7sæ,Japan 7s,Fiji 7sæ,41æ,æ5,29,T7s
05.04.,11:58,Portugal 7s,USA 7sæ,USA 7sæ,0æ,æ39,28,T7s
05.04.,11:36,Samoa 7sæ,Hong Kong,Samoa 7sæ,21æ,æ0,27,T7s
05.04.,11:14,Kenya 7s,Australia 7sæ,Australia 7sæ,5æ,æ14,26,T7s
05.04.,10:52,Wales 7sæ,Argentina 7s,Wales 7sæ,14æ,æ7,25,T7s
04.04.,21:04,France 7s,Japan 7s,France 7s,24æ,æ19,24,T7s
04.04.,20:42,Samoa 7s,Argentina 7s,,26æ,æ26,23,T7s
04.04.,20:20,Canada 7s,Kenya 7s,Canada 7s,26æ,æ10,22,T7s
04.04.,19:58,South Africa 7s,USA 7s,South Africa 7s,24æ,æ15,21,T7s
04.04.,19:36,Scotland 7s,Portugal 7s,Scotland 7s,17æ,æ12,20,T7s
04.04.,19:14,New Zealand 7s,Australia 7s,Australia 7s,14æ,æ19,19,T7s
04.04.,18:52,Wales 7s,Hong Kong,Wales 7s,31æ,æ5,18,T7s
04.04.,18:30,Fiji 7s,England 7s,Fiji 7s,33æ,æ19,17,T7s
04.04.,16:52,Argentina 7s,France 7s,France 7s,7æ,æ17,16,T7s
04.04.,16:30,Samoa 7s,Japan 7s,Japan 7s,12æ,æ26,15,T7s
04.04.,16:08,USA 7s,Canada 7s,USA 7s,22æ,æ14,14,T7s
04.04.,15:46,South Africa 7s,Kenya 7s,South Africa 7s,26æ,æ0,13,T7s
04.04.,15:24,Australia 7s,Scotland 7s,Scotland 7s,14æ,æ17,12,T7s
04.04.,15:02,New Zealand 7s,Portugal 7s,New Zealand 7s,26æ,æ7,11,T7s
04.04.,14:40,England 7s,Wales 7s,England 7s,10æ,æ7,10,T7s
04.04.,14:18,Fiji 7s,Hong Kong,Fiji 7s,35æ,æ14,9,T7s
04.04.,13:34,Argentina 7s,Japan 7s,,14æ,æ14,8,T7s
04.04.,13:12,Samoa 7s,France 7s,Samoa 7s,14æ,æ12,7,T7s
04.04.,12:50,USA 7s,Kenya 7s,Kenya 7s,5æ,æ27,6,T7s
04.04.,12:28,South Africa 7s,Canada 7s,South Africa 7s,29æ,æ7,5,T7s
04.04.,12:06,Australia 7s,Portugal 7s,Portugal 7s,10æ,æ12,4,T7s
04.04.,11:44,New Zealand 7s,Scotland 7s,New Zealand 7s,38æ,æ0,3,T7s
04.04.,11:22,England 7s,Hong Kong,England 7s,33æ,æ0,2,T7s
04.04.,11:00,Fiji 7s,Wales 7s,Fiji 7s,19æ,æ10,1,T7s
07.02.,16:55,England 7s,New Zealand 7sæ,New Zealand 7sæ,21æ,æ27,45,NZ7s
07.02.,16:23,Scotland 7s,South Africa 7sæ,South Africa 7sæ,7æ,æ40,44,NZ7s
07.02.,15:53,Fiji 7sæ,Australia 7s,Fiji 7sæ,24æ,æ0,43,NZ7s
07.02.,15:23,France 7sæ,Argentina 7s,France 7sæ,29æ,æ5,42,NZ7s
07.02.,14:53,Samoa 7s,Canada 7sæ,Canada 7sæ,10æ,æ26,41,NZ7s
07.02.,13:37,South Africa 7s,New Zealand 7sæ,New Zealand 7sæ,7æ,æ17,40,NZ7s
07.02.,13:12,Scotland 7s,England 7sæ,England 7sæ,19æ,æ24,39,NZ7s
07.02.,12:46,Kenya 7s,Australia 7sæ,Australia 7sæ,5æ,æ21,38,NZ7s
07.02.,12:24,USA 7s,Fiji 7sæ,Fiji 7sæ,10æ,æ12,37,NZ7s
07.02.,12:02,Argentina 7sæ,Portugal 7s,Argentina 7sæ,47æ,æ12,36,NZ7s
07.02.,11:40,France 7sæ,Wales 7s,France 7sæ,43æ,æ0,35,NZ7s
07.02.,11:18,Japan 7s,Canada 7sæ,Canada 7sæ,21æ,æ28,34,NZ7s
07.02.,10:56,Samoa 7sæ,Papua New Guinea,Samoa 7sæ,47æ,æ5,33,NZ7s
07.02.,10:31,New Zealand 7sæ,Australia 7s,New Zealand 7sæ,26æ,æ7,32,NZ7s
07.02.,10:10,Kenya 7s,South Africa 7sæ,South Africa 7sæ,5æ,æ19,31,NZ7s
07.02.,9:49,Fiji 7s,England 7sæ,,21æ,æ26,30,NZ7s
07.02.,9:28,USA 7s,Scotland 7sæ,Scotland 7sæ,15æ,æ19,29,NZ7s
07.02.,9:03,Canada 7s,Portugal 7sæ,Portugal 7sæ,0æ,æ26,28,NZ7s
07.02.,8:42,Argentina 7sæ,Japan 7s,Argentina 7sæ,38æ,æ5,27,NZ7s
07.02.,8:21,Wales 7sæ,Papua New Guinea,Wales 7sæ,41æ,æ0,26,NZ7s
07.02.,8:00,France 7sæ,Samoa 7s,France 7sæ,26æ,æ19,25,NZ7s
06.02.,17:00,New Zealand 7s,England 7s,New Zealand 7s,24æ,æ5,24,NZ7s
06.02.,16:38,Canada 7s,Papua New Guinea,Canada 7s,41æ,æ0,23,NZ7s
06.02.,16:16,Argentina 7s,Scotland 7s,Scotland 7s,14æ,æ21,22,NZ7s
06.02.,15:54,Kenya 7s,Samoa 7s,Kenya 7s,28æ,æ14,21,NZ7s
06.02.,14:54,Australia 7s,Fiji 7s,Fiji 7s,5æ,æ14,20,NZ7s
06.02.,14:32,Wales 7s,Portugal 7s,Wales 7s,20æ,æ12,19,NZ7s
06.02.,14:10,South Africa 7s,USA 7s,South Africa 7s,26æ,æ14,18,NZ7s
06.02.,13:48,France 7s,Japan 7s,France 7s,35æ,æ17,17,NZ7s
06.02.,13:26,England 7s,Canada 7s,England 7s,27æ,æ5,16,NZ7s
06.02.,13:04,New Zealand 7s,Papua New Guinea,New Zealand 7s,38æ,æ7,15,NZ7s
06.02.,12:42,Scotland 7s,Kenya 7s,Kenya 7s,14æ,æ19,14,NZ7s
06.02.,12:20,Argentina 7s,Samoa 7s,,21æ,æ21,13,NZ7s
06.02.,11:58,Fiji 7s,Wales 7s,Fiji 7s,42æ,æ19,12,NZ7s
06.02.,11:36,Australia 7s,Portugal 7s,Australia 7s,29æ,æ0,11,NZ7s
06.02.,11:14,USA 7s,France 7s,USA 7s,38æ,æ7,10,NZ7s
06.02.,10:52,South Africa 7s,Japan 7s,South Africa 7s,24æ,æ7,9,NZ7s
06.02.,10:30,England 7s,Papua New Guinea,England 7s,29æ,æ0,8,NZ7s
06.02.,10:08,New Zealand 7s,Canada 7s,New Zealand 7s,26æ,æ5,7,NZ7s
06.02.,9:46,Scotland 7s,Samoa 7s,Scotland 7s,14æ,æ12,6,NZ7s
06.02.,9:24,Argentina 7s,Kenya 7s,Argentina 7s,31æ,æ7,5,NZ7s
06.02.,9:03,Fiji 7s,Portugal 7s,Fiji 7s,31æ,æ19,4,NZ7s
06.02.,8:42,Australia 7s,Wales 7s,Australia 7s,36æ,æ5,3,NZ7s
06.02.,8:21,USA 7s,Japan 7s,USA 7s,40æ,æ5,2,NZ7s
06.02.,8:00,South Africa 7s,France 7s,France 7s,5æ,æ22,1,NZ7s
11.05.,3:50,Fiji 7sæ,New Zealand 7s,Fiji 7sæ,24æ,æ17,45,S7s
11.05.,3:16,USA 7s,England 7sæ,England 7sæ,19æ,æ24,44,S7s
11.05.,2:48,South Africa 7sæ,Scotland 7s,South Africa 7sæ,12æ,æ10,43,S7s
11.05.,2:20,Wales 7sæ,Argentina 7s,Wales 7sæ,12æ,æ7,42,S7s
11.05.,1:52,Samoa 7sæ,Portugal 7s,Samoa 7sæ,22æ,æ12,41,S7s
11.05.,1:20,England 7s,New Zealand 7sæ,New Zealand 7sæ,0æ,æ5,40,S7s
11.05.,0:58,USA 7s,Fiji 7sæ,Fiji 7sæ,5æ,æ19,39,S7s
11.05.,0:36,Canada 7s,Scotland 7sæ,Scotland 7sæ,12æ,æ14,38,S7s
11.05.,0:14,Australia 7s,South Africa 7sæ,South Africa 7sæ,12æ,æ21,37,S7s
10.05.,23:52,Argentina 7sæ,Kenya 7s,Argentina 7sæ,24æ,æ7,36,S7s
10.05.,23:30,France 7s,Wales 7sæ,Wales 7sæ,5æ,æ12,35,S7s
10.05.,23:08,Russia 7s,Portugal 7sæ,Portugal 7sæ,7æ,æ10,34,S7s
10.05.,22:46,Japan 7s,Samoa 7sæ,Samoa 7sæ,14æ,æ24,33,S7s
10.05.,22:04,New Zealand 7sæ,Scotland 7s,New Zealand 7sæ,17æ,æ7,32,S7s
10.05.,21:42,Canada 7s,England 7sæ,England 7sæ,7æ,æ14,31,S7s
10.05.,21:20,Fiji 7sæ,South Africa 7s,Fiji 7sæ,15æ,æ0,30,S7s
10.05.,20:58,Australia 7s,USA 7sæ,USA 7sæ,7æ,æ14,29,S7s
10.05.,20:36,Kenya 7sæ,Portugal 7s,Kenya 7sæ,12æ,æ0,28,S7s
10.05.,20:14,Argentina 7sæ,Russia 7s,Argentina 7sæ,14æ,æ0,27,S7s
10.05.,19:52,Wales 7sæ,Samoa 7s,Wales 7sæ,5æ,æ0,26,S7s
10.05.,19:30,France 7sæ,Japan 7s,France 7sæ,19æ,æ0,25,S7s
10.05.,4:21,Fiji 7s,Scotland 7s,Fiji 7s,45æ,æ5,24,S7s
10.05.,3:59,Wales 7s,Portugal 7s,Wales 7s,42æ,æ7,23,S7s
10.05.,3:37,South Africa 7s,New Zealand 7s,New Zealand 7s,19æ,æ24,22,S7s
10.05.,3:15,Samoa 7s,Kenya 7s,Kenya 7s,22æ,æ29,21,S7s
