SERIES.MATCH,T_Name,Game,Poss_ID,Team_1,Team_2,Origin,Start_,End_,Lost
9,GC7s,9,17,USA,ENG,FK,8,8,PEN
9,GC7s,9,18,ENG,USA,PK,8,8,Kicked to touch
10,GC7s,10,1,ARG,CAN,Restart,3,13,PEN
10,GC7s,10,2,CAN,ARG,PK,13,14,TRY
10,GC7s,10,3,ARG,CAN,Restart,6,6,Intercepted
10,GC7s,10,4,CAN,ARG,Intercept,10,8,Kick
10,GC7s,10,5,ARG,CAN,Kick,2,2,Tackled in goal
10,GC7s,10,6,CAN,ARG,Scrum,14,14,TRY
10,GC7s,10,7,ARG,CAN,Restart,3,14,TRY
10,GC7s,10,8,CAN,ARG,Restart,5,5,Poached
10,GC7s,10,9,ARG,CAN,Poach,11,11,HE
10,GC7s,10,10,CAN,ARG,Scrum,5,5,Kicked to touch
10,GC7s,10,11,CAN,ARG,Restart,6,14,PEN
10,GC7s,10,12,ARG,CAN,PK,2,14,TRY
10,GC7s,10,13,CAN,ARG,Restart,4,9,HE
10,GC7s,10,14,ARG,CAN,Scrum,7,13,Line out stolen
10,GC7s,10,15,CAN,ARG,Line out steal,3,4,HE
10,GC7s,10,16,ARG,CAN,Scrum,12,15,Intercepted
10,GC7s,10,17,CAN,ARG,Intercept,1,1,HE
11,GC7s,11,1,JPN,NZL,Restart,4,5,Counter ruck
11,GC7s,11,2,NZL,JPN,Counter ruck,11,13,TRY
11,GC7s,11,3,NZL,JPN,Reclaim,10,14,TRY
11,GC7s,11,4,JPN,NZL,Restart,5,8,Poached
11,GC7s,11,5,NZL,JPN,Poach,8,13,TRY
11,GC7s,11,6,JPN,NZL,Restart,6,5,Intercepted
11,GC7s,11,7,NZL,JPN,Intercept,11,14,TRY
11,GC7s,11,8,NZL,JPN,Reclaim,11,14,TRY
11,GC7s,11,9,JPN,NZL,Scrum,10,14,PEN
11,GC7s,11,10,NZL,JPN,PK,2,9,Line out stolen
11,GC7s,11,11,JPN,NZL,Line out steal,7,11,HE
11,GC7s,11,12,NZL,JPN,Scrum,5,15,TRY
11,GC7s,11,13,JPN,NZL,Restart,4,5,Counter ruck
11,GC7s,11,14,NZL,JPN,Counter ruck,11,14,TRY
11,GC7s,11,15,NZL,JPN,Reclaim,11,13,TRY
11,GC7s,11,16,NZL,JPN,Reclaim,12,14,TRY
12,GC7s,12,1,FRA,SAM,Restart,6,14,TRY
12,GC7s,12,2,SAM,FRA,Restart,6,13,Tackled to touch
12,GC7s,12,3,FRA,SAM,Line out,3,1,Scrum stolen
12,GC7s,12,4,SAM,FRA,Scrum steal,15,15,PEN
12,GC7s,12,5,FRA,SAM,PK,1,14,PEN
12,GC7s,12,6,SAM,FRA,PK,2,1,Poached
12,GC7s,12,7,FRA,SAM,Poach,15,15,HE
12,GC7s,12,8,SAM,FRA,Scrum,1,14,TRY
12,GC7s,12,9,FRA,SAM,Restart,6,6,HE
12,GC7s,12,10,SAM,FRA,Scrum,10,14,Poached
12,GC7s,12,11,FRA,SAM,Poach,2,1,HE
12,GC7s,12,12,SAM,FRA,Restart,6,5,Intercepted
12,GC7s,12,13,FRA,SAM,Intercept,11,15,TRY
12,GC7s,12,14,SAM,FRA,Restart,6,8,PEN
12,GC7s,12,15,FRA,SAM,PK,8,12,Kick
12,GC7s,12,16,SAM,FRA,Kick,1,11,Intercepted
12,GC7s,12,17,FRA,SAM,Intercept,5,6,Tackled to touch
12,GC7s,12,18,SAM,FRA,Line out,10,10,Line out stolen
12,GC7s,12,19,FRA,SAM,Line out steal,6,5,Counter ruck
12,GC7s,12,20,SAM,FRA,Counter ruck,11,14,TRY
12,GC7s,12,21,SAM,FRA,Scrum,11,11,Intercepted
12,GC7s,12,22,FRA,SAM,Intercept,5,7,HE
12,GC7s,12,23,SAM,FRA,FK,9,14,Intercepted
12,GC7s,12,24,FRA,SAM,Intercept,2,2,Intercepted
12,GC7s,12,25,SAM,FRA,Intercept,14,13,TRY
13,GC7s,13,1,ASM,RSA,Restart,4,4,HE
13,GC7s,13,2,RSA,ASM,Scrum,12,14,Intercepted
13,GC7s,13,3,ASM,RSA,Intercept,2,2,Kick
13,GC7s,13,4,RSA,ASM,Kick,7,11,HE
13,GC7s,13,5,ASM,RSA,Scrum,5,5,PEN
13,GC7s,13,6,RSA,ASM,PK,11,11,HE
13,GC7s,13,7,ASM,RSA,Scrum,5,5,Scrum infraction
13,GC7s,13,8,RSA,ASM,FK,11,14,TRY
13,GC7s,13,9,RSA,ASM,Scrum,12,14,TRY
13,GC7s,13,10,RSA,ASM,Reclaim,9,15,TRY
13,GC7s,13,11,ASM,RSA,Restart,4,3,HE
13,GC7s,13,12,RSA,ASM,Restart,5,14,TRY
13,GC7s,13,13,ASM,RSA,FK,8,8,PEN
13,GC7s,13,14,RSA,ASM,PK,8,14,TRY
13,GC7s,13,15,ASM,RSA,Restart,4,7,Poached
13,GC7s,13,16,RSA,ASM,Poach,9,13,TRY
13,GC7s,13,17,ASM,RSA,Restart,5,2,Intercepted
13,GC7s,13,18,RSA,ASM,Intercept,14,14,TRY
13,GC7s,13,19,ASM,RSA,Restart,4,1,PEN
13,GC7s,13,20,RSA,ASM,PK,15,13,TRY
14,GC7s,14,1,WAL,KEN,Restart,3,14,TRY
14,GC7s,14,2,KEN,WAL,Restart,4,2,Intercepted
14,GC7s,14,3,WAL,KEN,Intercept,14,14,TRY
14,GC7s,14,4,KEN,WAL,Restart,4,7,HE
14,GC7s,14,5,WAL,KEN,Scrum,9,7,PEN
14,GC7s,14,6,KEN,WAL,PK,9,12,HE
14,GC7s,14,7,WAL,KEN,Line out,4,2,Kick
14,GC7s,14,8,KEN,WAL,Kick,8,14,HE
14,GC7s,14,9,WAL,KEN,Scrum,2,2,Kicked to touch
14,GC7s,14,10,WAL,KEN,Reclaim,10,13,TRY
14,GC7s,14,11,KEN,WAL,Restart,2,14,TRY
14,GC7s,14,12,WAL,KEN,Restart,5,5,PEN
14,GC7s,14,13,KEN,WAL,PK,11,14,TRY
14,GC7s,14,14,KEN,WAL,Scrum,11,14,TRY
14,GC7s,14,15,WAL,KEN,Restart,6,8,HE
14,GC7s,14,16,KEN,WAL,Scrum,8,8,Kick
14,GC7s,14,17,WAL,KEN,Kick,1,15,TRY
15,GC7s,15,1,FIJ,POR,Line out,10,14,HE
15,GC7s,15,2,POR,FIJ,Scrum,2,2,PEN
15,GC7s,15,3,FIJ,POR,PK,13,15,TRY
15,GC7s,15,4,POR,FIJ,Restart,6,1,HE
15,GC7s,15,5,FIJ,POR,Scrum,15,13,TRY
15,GC7s,15,6,FIJ,POR,Reclaim,7,11,HE
15,GC7s,15,7,POR,FIJ,Scrum,5,10,PEN
15,GC7s,15,8,FIJ,POR,PK,6,6,HE
15,GC7s,15,9,FIJ,POR,Restart,6,13,TRY
15,GC7s,15,10,POR,FIJ,Restart,5,14,Poached
15,GC7s,15,11,FIJ,POR,Poach,2,13,Tackled in goal
15,GC7s,15,12,FIJ,POR,22,8,7,Intercepted
15,GC7s,15,13,POR,FIJ,Intercept,9,15,Tackled to touch
15,GC7s,15,14,FIJ,POR,Line out,1,14,TRY
15,GC7s,15,15,POR,FIJ,Scrum,6,2,PEN
15,GC7s,15,16,FIJ,POR,PK,14,14,TRY
15,GC7s,15,17,FIJ,POR,Reclaim,11,14,TRY
16,GC7s,16,1,AUS,SCO,Scrum,11,13,TRY
16,GC7s,16,2,SCO,AUS,Restart,6,15,Intercepted
16,GC7s,16,3,AUS,SCO,Intercept,1,1,Intercepted
16,GC7s,16,4,SCO,AUS,Intercept,15,1,TRY
16,GC7s,16,5,AUS,SCO,FK,8,11,Poached
16,GC7s,16,6,SCO,AUS,Poach,5,14,TRY
16,GC7s,16,7,AUS,SCO,FK,8,10,HE
16,GC7s,16,8,SCO,AUS,PK,6,9,Kicked to touch
16,GC7s,16,9,AUS,SCO,Restart,5,5,HE
16,GC7s,16,10,SCO,AUS,Scrum,11,11,Scrum stolen
16,GC7s,16,11,AUS,SCO,Scrum steal,5,2,Kicked to touch
16,GC7s,16,12,SCO,AUS,Line out,4,4,Line out infraction
16,GC7s,16,13,AUS,SCO,Scrum,12,13,TRY
16,GC7s,16,14,AUS,SCO,Reclaim,11,14,TRY
16,GC7s,16,15,AUS,SCO,Reclaim,12,15,TRY
16,GC7s,16,16,SCO,AUS,Scrum,4,5,Counter ruck
17,GC7s,17,1,ARG,USA,Restart,4,4,HE
17,GC7s,17,2,USA,ARG,Intercept,9,10,PEN
17,GC7s,17,3,ARG,USA,PK,6,13,TRY
17,GC7s,17,4,USA,ARG,Restart,6,14,TRY
17,GC7s,17,5,ARG,USA,Restart,4,11,Intercepted
17,GC7s,17,6,USA,ARG,Intercept,2,3,Tackled to touch
17,GC7s,17,7,ARG,USA,Line out,13,14,TRY
17,GC7s,17,8,USA,ARG,Restart,6,3,PEN
17,GC7s,17,9,ARG,USA,PK,13,13,Tackled to touch
17,GC7s,17,10,USA,ARG,Line out,3,7,HE
17,GC7s,17,11,ARG,USA,Scrum,9,7,Kick
17,GC7s,17,12,USA,ARG,Kick,6,7,Intercepted
17,GC7s,17,13,ARG,USA,Intercept,9,14,TRY
17,GC7s,17,14,USA,ARG,Restart,7,11,HE
17,GC7s,17,15,ARG,USA,Scrum,5,5,Scrum stolen
17,GC7s,17,16,USA,ARG,Scrum steal,11,13,TRY
17,GC7s,17,17,ARG,USA,Restart,6,14,TRY
18,GC7s,18,1,ENG,CAN,Restart,6,14,TRY
18,GC7s,18,2,CAN,ENG,Restart,5,14,TRY
18,GC7s,18,3,CAN,ENG,Reclaim,11,11,PEN
18,GC7s,18,4,ENG,CAN,PK,5,7,Kick
18,GC7s,18,5,CAN,ENG,Kick,2,2,Kick
18,GC7s,18,6,ENG,CAN,Kick,7,8,Intercepted
18,GC7s,18,7,CAN,ENG,Intercept,8,13,Intercepted
18,GC7s,18,8,ENG,CAN,Intercept,3,14,TRY
18,GC7s,18,9,CAN,ENG,Scrum,5,13,PEN
18,GC7s,18,10,ENG,CAN,PK,4,11,HE
18,GC7s,18,11,CAN,ENG,Scrum,5,9,HE
18,GC7s,18,12,ENG,CAN,Scrum,7,15,TRY
18,GC7s,18,13,CAN,ENG,Restart,8,15,TRY
18,GC7s,18,14,ENG,CAN,Restart,6,8,PEN
18,GC7s,18,15,CAN,ENG,PK,8,8,Kicked to touch
19,GC7s,19,1,JPN,FRA,Restart,6,8,Poached
19,GC7s,19,2,FRA,JPN,Poach,8,14,TRY
19,GC7s,19,3,JPN,FRA,Restart,5,7,Kick
19,GC7s,19,4,FRA,JPN,Kick,7,14,TRY
19,GC7s,19,5,JPN,FRA,Restart,6,8,PEN
19,GC7s,19,6,FRA,JPN,PK,8,14,TRY
19,GC7s,19,7,JPN,FRA,Restart,7,13,Counter ruck
19,GC7s,19,8,FRA,JPN,Counter ruck,3,4,HE
19,GC7s,19,9,JPN,FRA,Scrum,12,14,Poached
19,GC7s,19,10,FRA,JPN,Poach,2,1,PEN
19,GC7s,19,11,JPN,FRA,PK,1,14,TRY
19,GC7s,19,12,FRA,JPN,Scrum,11,4,HE
19,GC7s,19,13,JPN,FRA,Scrum,12,13,TRY
19,GC7s,19,14,FRA,JPN,Restart,12,13,TRY
19,GC7s,19,15,FRA,JPN,Scrum,12,11,PEN
19,GC7s,19,16,JPN,FRA,PK,5,14,Poached
19,GC7s,19,17,FRA,JPN,Poach,2,14,TRY
20,GC7s,20,1,NZL,SAM,Restart,2,14,TRY
20,GC7s,20,2,SAM,NZL,Restart,4,13,TRY
20,GC7s,20,3,NZL,SAM,Restart,3,14,TRY
20,GC7s,20,4,NZL,SAM,Line out,12,11,Intercepted
20,GC7s,20,5,SAM,NZL,Intercept,5,14,TRY
20,GC7s,20,6,SAM,NZL,Restart,2,15,TRY
20,GC7s,20,7,NZL,SAM,Restart,3,3,Intercepted
20,GC7s,20,8,SAM,NZL,Intercept,10,11,Intercepted
20,GC7s,20,9,NZL,SAM,Intercept,5,14,TRY
20,GC7s,20,10,SAM,NZL,Restart,6,4,HE
20,GC7s,20,11,NZL,SAM,Scrum,12,14,TRY
20,GC7s,20,12,SAM,NZL,Restart,6,5,HE
21,GC7s,21,1,WAL,ASM,Reclaim,10,14,TRY
21,GC7s,21,2,ASM,WAL,Restart,6,7,HE
21,GC7s,21,3,WAL,ASM,Scrum,9,13,TRY
21,GC7s,21,4,WAL,ASM,Scrum,10,14,TRY
21,GC7s,21,5,WAL,ASM,Reclaim,10,13,Poached
21,GC7s,21,6,ASM,WAL,Poach,3,2,HE
21,GC7s,21,7,ASM,WAL,Scrum,8,7,Tackled to touch
21,GC7s,21,8,WAL,ASM,Line out,9,15,Tackled to touch
21,GC7s,21,9,ASM,WAL,Line out,1,1,Poached
21,GC7s,21,10,WAL,ASM,Poach,15,14,TRY
21,GC7s,21,11,ASM,WAL,Restart,5,7,HE
21,GC7s,21,12,WAL,ASM,Scrum,9,14,TRY
21,GC7s,21,13,ASM,WAL,Restart,6,6,Tackled to touch
21,GC7s,21,14,WAL,ASM,Line out,7,14,Intercepted
21,GC7s,21,15,ASM,WAL,Intercept,2,5,PEN
21,GC7s,21,16,WAL,ASM,PK,11,13,TRY
22,GC7s,22,1,KEN,RSA,Reclaim,12,15,Tackled to touch
22,GC7s,22,2,RSA,KEN,Line out,1,2,Kick
22,GC7s,22,3,KEN,RSA,Kick,7,8,Poached
22,GC7s,22,4,RSA,KEN,Poach,8,15,TRY
22,GC7s,22,5,KEN,RSA,Restart,1,1,Counter ruck
22,GC7s,22,6,RSA,KEN,Counter ruck,15,13,TRY
22,GC7s,22,7,RSA,KEN,Scrum,12,15,Intercepted
22,GC7s,22,8,KEN,RSA,Intercept,1,6,HE
22,GC7s,22,9,RSA,KEN,Scrum,10,15,TRY
22,GC7s,22,10,KEN,RSA,Restart,1,4,HE
22,GC7s,22,11,RSA,KEN,Scrum,12,14,HE
22,GC7s,22,12,KEN,RSA,Restart,1,2,Intercepted
22,GC7s,22,13,RSA,KEN,Intercept,14,14,TRY
22,GC7s,22,14,KEN,RSA,Restart,4,5,Intercepted
22,GC7s,22,15,RSA,KEN,Intercept,9,14,TRY
22,GC7s,22,16,KEN,RSA,Restart,4,2,Kick
22,GC7s,22,17,RSA,KEN,Kick,1,5,Kicked to touch
22,GC7s,22,18,KEN,RSA,Line out,1,1,HE
22,GC7s,22,19,RSA,KEN,Scrum,15,15,TRY
22,GC7s,22,20,KEN,RSA,Restart,4,5,Poached
22,GC7s,22,21,RSA,KEN,Poach,11,13,TRY
23,GC7s,23,1,SCO,POR,Restart,6,11,Intercepted
23,GC7s,23,2,POR,SCO,Intercept,5,13,Line out stolen
23,GC7s,23,3,SCO,POR,Line out steal,3,14,TRY
23,GC7s,23,4,POR,SCO,FK,8,11,Intercepted
23,GC7s,23,5,SCO,POR,Intercept,5,2,Poached
23,GC7s,23,6,POR,SCO,Poach,14,10,Kick
23,GC7s,23,7,SCO,POR,Kick,3,3,HE
23,GC7s,23,8,POR,SCO,Scrum,13,14,TRY
23,GC7s,23,9,SCO,POR,Restart,6,14,TRY
23,GC7s,23,10,SCO,POR,Reclaim,12,11,PEN
23,GC7s,23,11,POR,SCO,PK,5,15,PEN
23,GC7s,23,12,SCO,POR,FK,1,14,TRY
23,GC7s,23,13,POR,SCO,Restart,5,9,Counter ruck
23,GC7s,23,14,SCO,POR,Counter ruck,7,11,PEN
23,GC7s,23,15,POR,SCO,PK,5,13,Intercepted
23,GC7s,23,16,SCO,POR,Intercept,3,2,Kick
23,GC7s,23,17,POR,SCO,Kick,14,14,TRY
23,GC7s,23,18,POR,SCO,Reclaim,11,14,TRY
24,GC7s,24,1,AUS,FIJ,Restart,4,5,Poached
24,GC7s,24,2,FIJ,AUS,Poach,11,14,TRY
24,GC7s,24,3,AUS,FIJ,Scrum,5,3,Intercepted
24,GC7s,24,4,FIJ,AUS,Intercept,13,13,Intercepted
24,GC7s,24,5,AUS,FIJ,Intercept,3,5,Intercepted
24,GC7s,24,6,FIJ,AUS,Intercept,11,14,TRY
24,GC7s,24,7,AUS,FIJ,Restart,6,6,Intercepted
24,GC7s,24,8,FIJ,AUS,Intercept,10,14,TRY
24,GC7s,24,9,AUS,FIJ,Restart,5,13,Tackled to touch
24,GC7s,24,10,FIJ,AUS,Line out,3,3,Kick
24,GC7s,24,11,AUS,FIJ,Kick,5,5,Kick
24,GC7s,24,12,FIJ,AUS,Kick,2,14,TRY
24,GC7s,24,13,FIJ,AUS,Restart,4,14,TRY
24,GC7s,24,14,AUS,FIJ,Scrum,5,4,HE
24,GC7s,24,15,FIJ,AUS,Scrum,15,11,Intercepted
24,GC7s,24,16,AUS,FIJ,Intercept,5,13,Intercepted
24,GC7s,24,17,FIJ,AUS,Intercept,3,3,HE
24,GC7s,24,18,AUS,FIJ,Scrum,14,15,TRY
24,GC7s,24,19,FIJ,AUS,Line out,4,4,Line out stolen
24,GC7s,24,20,AUS,FIJ,Line out steal,12,14,TRY
25,GC7s,25,1,FRA,CAN,Restart,8,14,TRY
25,GC7s,25,2,CAN,FRA,Restart,6,13,PEN
25,GC7s,25,3,FRA,CAN,PK,3,14,TRY
25,GC7s,25,4,CAN,FRA,Restart,5,14,TRY
25,GC7s,25,5,FRA,CAN,Restart,5,4,HE
25,GC7s,25,6,CAN,FRA,Scrum,12,8,Intercepted
25,GC7s,25,7,FRA,CAN,Intercept,9,9,Kicked to touch
25,GC7s,25,8,CAN,FRA,Restart,6,6,PEN
25,GC7s,25,9,FRA,CAN,PK,10,11,HE
25,GC7s,25,10,CAN,FRA,Scrum,5,14,TRY
25,GC7s,25,11,CAN,FRA,PK,11,12,Line out stolen
25,GC7s,25,12,FRA,CAN,Line out steal,4,15,TRY
25,GC7s,25,13,CAN,FRA,Restart,6,13,TRY
25,GC7s,25,14,FRA,CAN,Restart,5,4,Kicked to touch
26,GC7s,26,1,SCO,ASM,Restart,5,14,TRY
26,GC7s,26,2,SCO,ASM,Reclaim,8,8,Poached
